NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE ,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SPECIES_CODE,COMMON_NAME,LANDFALL_PORT,CRUISE,HAUL,SITE,STATE_M,COUNTY_M,LATITUDE_M,LONGITUDE_M,LOCATION_COMMENTS_M
M128980,M1322,1A,A060157KSF,5586,,Oncorhynchus,mykiss,142,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128980,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128981,M1322,1B,A060160KSF,5586,,Oncorhynchus,mykiss,136,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128981,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128982,M1322,1C,A060168KSF,5586,,Oncorhynchus,mykiss,106,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128982,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128983,M1322,1D,A060169KSF,5586,,Oncorhynchus,mykiss,103,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128983,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128984,M1322,1E,A060174KSF,5586,,Oncorhynchus,mykiss,134,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128984,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128985,M1322,1F,A060180KSF,5586,,Oncorhynchus,mykiss,195,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128985,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128986,M1322,1G,A060183KSF,5586,,Oncorhynchus,mykiss,102,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128986,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128987,M1322,1H,A060185KSF,5586,,Oncorhynchus,mykiss,174,,,,,,,,8/21/06,,LC,44594,,Golden trout. Not sure if length is total or fork,M128987,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128988,M1322,2A,A060188KSF,5586,,Oncorhynchus,mykiss,154,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128988,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
M128989,M1322,2B,A060192KSF,5586,,Oncorhynchus,mykiss,115,,,,,,,,8/21/06,,LC,44594,None,Golden trout. Not sure if length is total or fork,M128989,California,Tulare,Kern River,South Fork Kern River,,Mulkey Creek,"Mulkey Creek, Upper",,GT-CA,36.40754,-118.17209,,,,,,,,,,,,,
